,CustomerID,recency,frequency,monetary,cluster,class,qtylog
0,12346.0,325,0.3010299956639812,4.88753065782031,0,Best customers,
1,12347.0,2,2.1818435879447726,3.5562071867975376,3,New Customers,
2,12348.0,75,1.1760912590556813,2.956859676591253,1,Middle Spending Active customers ,
3,12349.0,18,1.8692317197309762,3.245154720913064,1,Middle Spending Active customers ,
4,12350.0,310,1.255272505103306,2.525563058270067,0,Best customers,
5,12352.0,36,1.9344984512435677,3.399161263212581,3,New Customers,
6,12353.0,204,0.6989700043360189,1.954242509439325,0,Best customers,
7,12354.0,232,1.7708520116421442,3.0335845755154134,0,Best customers,
8,12355.0,214,1.146128035678238,2.663135314957754,0,Best customers,
9,12356.0,22,1.7781512503836436,3.449081721877798,3,New Customers,
10,12357.0,33,2.12057393120585,3.792998577064904,3,New Customers,
11,12358.0,1,1.3010299956639813,3.067836801153474,1,Middle Spending Active customers ,
12,12359.0,57,2.3961993470957363,3.8043834413636004,3,New Customers,
13,12360.0,52,2.113943352306837,3.4253809514090374,3,New Customers,
14,12361.0,287,1.0413926851582251,2.280805928393667,0,Best customers,
15,12362.0,3,2.4265112613645754,3.7182716096315667,3,New Customers,
16,12363.0,109,1.380211241711606,2.7427251313046983,1,Middle Spending Active customers ,
17,12364.0,7,1.9344984512435677,3.1186284152965986,1,Middle Spending Active customers ,
18,12365.0,291,1.3617278360175928,2.8077920110613297,0,Best customers,
19,12367.0,4,1.0791812460476249,2.230193378869046,2,Low Spending Old customers,
20,12370.0,51,1.8864907251724818,3.2249653290951352,1,Middle Spending Active customers ,
21,12371.0,44,1.806179973983887,3.2762227615411006,1,Middle Spending Active customers ,
22,12372.0,71,1.724275869600789,3.11362252406134,1,Middle Spending Active customers ,
23,12373.0,311,1.1760912590556813,2.5630061870617937,0,Best customers,
24,12374.0,25,1.5314789170422551,2.871532072583568,1,Middle Spending Active customers ,
25,12375.0,10,1.255272505103306,2.66133934000604,2,Low Spending Old customers,
26,12377.0,315,1.5440680443502757,2.7976829349148993,0,Best customers,
27,12378.0,129,2.342422680822206,3.603103215582007,3,New Customers,
28,12379.0,81,1.6127838567197355,2.931071207035331,1,Middle Spending Active customers ,
29,12380.0,21,2.0211892990699383,3.435495580468815,3,New Customers,
30,12381.0,4,1.9444826721501687,3.2663046219262393,3,New Customers,
31,12383.0,184,1.7993405494535817,3.0972017608835847,1,Middle Spending Active customers ,
32,12384.0,28,1.4471580313422192,2.7680976714868604,1,Middle Spending Active customers ,
33,12386.0,337,0.47712125471966244,2.1583624920952498,0,Best customers,
34,12388.0,15,2.0043213737826426,3.4443040454447886,3,New Customers,
35,12390.0,79,1.5185139398778875,2.741025469617789,1,Middle Spending Active customers ,
36,12391.0,21,2.0043213737826426,2.664538559796165,1,Middle Spending Active customers ,
37,12393.0,72,1.8129133566428555,3.199645493080167,1,Middle Spending Active customers ,
38,12394.0,63,1.4471580313422192,3.1049921287595135,1,Middle Spending Active customers ,
39,12395.0,19,2.100370545117563,3.3691620312542856,3,New Customers,
40,12397.0,35,2.103803720955957,3.3821791969602546,3,New Customers,
41,12398.0,45,1.9344984512435677,3.2139584683794102,1,Middle Spending Active customers ,
42,12399.0,119,1.7781512503836436,3.0451860174910244,1,Middle Spending Active customers ,
43,12401.0,303,0.7781512503836436,1.930949031167523,0,Best customers,
44,12402.0,323,1.0791812460476249,2.3552599055273786,0,Best customers,
45,12403.0,49,0.7781512503836436,2.6321534835106326,2,Low Spending Old customers,
46,12405.0,148,1.7403626894942439,3.2333489899896612,1,Middle Spending Active customers ,
47,12406.0,22,2.0253058652647704,3.533556000958365,3,New Customers,
48,12407.0,49,1.8920946026904804,3.2327725562890435,1,Middle Spending Active customers ,
49,12408.0,32,2.0253058652647704,3.4608302137829248,3,New Customers,
50,12409.0,78,2.041392685158225,4.044291577211451,3,New Customers,
51,12410.0,308,1.4313637641589874,2.841565930275974,0,Best customers,
52,12412.0,74,1.792391689498254,3.089155925531251,1,Middle Spending Active customers ,
53,12413.0,66,1.591064607026499,2.8802989914257524,1,Middle Spending Active customers ,
54,12414.0,217,1.2787536009528289,2.750824551038603,0,Best customers,
55,12415.0,24,2.8543060418010806,5.09661643496364,3,New Customers,
56,12417.0,3,2.2600713879850747,3.5261789724634367,3,New Customers,
57,12418.0,112,1.5440680443502757,2.825802473032757,1,Middle Spending Active customers ,
58,12420.0,63,1.4771212547196624,2.779156202313008,1,Middle Spending Active customers ,
59,12421.0,15,1.662757831681574,2.907432859969259,1,Middle Spending Active customers ,
60,12422.0,95,1.6020599913279623,2.905558437120276,1,Middle Spending Active customers ,
61,12423.0,0,2.041392685158225,3.2101525838914227,3,New Customers,
